45161
Date/Time (UTC),Wind_Speed (kts),Wind_Gust (kts),Wind_from_Direction (degrees_true),Water_Temperature_at_Surface (fahrenheit),Significant_Wave_Height (ft),Significant_Wave_Period (s),significant_wave_from_direction (degrees_true),Air_Temperature (fahrenheit),Air_Pressure (mb),Thermistor_String_at_1m (fahrenheit),Thermistor_String_at_22m (fahrenheit)
10/15/2020 08:40:00,21.753707824,28.231554624,-9999.0,59.7884,5.1837272,4.38,262.37,56.507,1002.255,59.792,-17966.2
10/15/2020 09:00:00,21.178525568,28.422050944,-9999.0,59.7632,5.5446196,4.4,262.19,56.2982,1002.8,59.756,-17966.2
10/15/2020 09:20:00,22.934785008,28.00295904,-9999.0,59.7542,6.0039372,4.61,265.83,55.4216,1003.335,59.756,-17966.2
10/15/2020 09:40:00,21.01388232,28.841142848,-9999.0,59.7398,6.4960632,4.73,271.86,55.0904,1003.433,59.738,-17966.2
10/15/2020 10:00:00,20.799282384,25.678903936,-9999.0,59.7416,7.1194228,4.91,274.95,54.7016,1004.155,59.738,-17966.2
10/15/2020 10:20:00,21.489539968,28.422050944,-9999.0,59.7056,6.8569556,4.74,277.31,54.0806,1004.66,59.702,-17966.2
10/15/2020 10:40:00,20.076562672,28.498249472,-9999.0,59.6876,8.3005252,5.2,277.14,53.6288,1005.227,59.684,-17966.2
10/15/2020 11:00:00,22.27057488,26.707584064,-9999.0,59.6966,7.2506564,4.84,281.91,52.8566,1005.633,59.702,-17966.2
10/15/2020 11:20:00,21.28116032,26.707584064,-9999.0,59.6822,8.2021,5.12,284.41,52.3814,1005.975,59.684,-17966.2
10/15/2020 11:40:00,21.781504736,27.05047744,-9999.0,59.666,7.4146984,5.13,289.49,51.4778,1006.352,59.666,-17966.2
10/15/2020 12:00:00,20.428980864,27.469569344,-9999.0,59.6606,7.6115488,5.23,285.01,51.2762,1006.21,59.666,-17966.2
10/15/2020 12:20:00,19.642308816,24.878819392,-9999.0,59.6606,7.709974,5.5,293.32,51.0296,1006.528,59.666,-17966.2
10/15/2020 12:40:00,20.320320208,25.640804672,-9999.0,59.6588,8.3989504,5.17,290.79,51.1124,1006.928,59.666,-17966.2
10/15/2020 13:00:00,19.709954448,25.564606144,-9999.0,59.6174,8.4973756,5.28,293.07,51.0134,1007.163,59.612,-17966.2
10/15/2020 13:20:00,18.852137856,25.14551424,-9999.0,59.6084,7.4803152,5.59,295.58,50.6966,1007.472,59.612,-17966.2
10/15/2020 13:40:00,19.323130288,24.878819392,-9999.0,59.5994,7.874016,5.5,297.99,50.3006,1008.1,59.594,-17966.2
10/15/2020 14:00:00,20.783148512,27.850561984,-9999.0,59.5886,7.5131236,5.06,297.54,50.261,1008.398,59.594,-17966.2
10/15/2020 14:20:00,20.620837872,27.279073024,-9999.0,59.594,7.1522312,5.27,298.33,50.1044,1008.842,59.594,-17966.2
10/15/2020 14:40:00,20.357447552,25.869400256,-9999.0,59.5688,7.6115488,5.33,304.0,49.901,1009.058,59.576,-17966.2
10/15/2020 15:00:00,19.393886064,26.059896576,-9999.0,59.5364,-32805.11916,-9999.0,-9999.0,49.9334,1009.51,59.54,-17966.2
10/15/2020 15:20:00,19.804425072,24.154933376,-9999.0,59.549,6.6929136,5.06,305.99,50.018,1009.898,59.54,-17966.2
10/15/2020 15:40:00,19.757578528,26.09799584,-9999.0,59.5508,7.0209976,5.21,303.23,50.1476,1010.207,59.558,-17966.2
10/15/2020 16:00:00,18.928336384,23.278650304,-9999.0,59.5742,7.2506564,5.32,305.95,49.9964,1010.433,59.576,-17966.2
10/15/2020 16:20:00,18.737840064,23.24055104,-9999.0,59.5706,6.233596,4.71,310.34,49.9982,1010.393,59.576,-17966.2
10/15/2020 16:40:00,16.8433736,23.469146624,-9999.0,59.5886,6.1023624,4.9,306.09,50.3204,1010.715,59.594,-17966.2
10/15/2020 17:00:00,17.44402016,21.945176064,-9999.0,59.6066,6.1351708,5.18,312.14,50.4482,1011.077,59.612,-17966.2
10/15/2020 17:20:00,17.072552336,20.840297408,-9999.0,59.6138,5.7086616,4.7,310.18,50.4716,1011.335,59.612,-17966.2
10/15/2020 17:40:00,17.721600512,21.678481216,-9999.0,59.5832,5.4790028,4.79,312.8,50.5004,1011.447,59.576,-17966.2
